No.,Timestamp,Berat
945,06:45:25:128,94.74
946,06:45:25:315,94.84
947,06:45:25:503,94.84
948,06:45:25:705,94.64
949,06:45:25:893,94.64
950,06:45:26:080,94.74
951,06:45:26:283,94.84
952,06:45:26:470,94.74
953,06:45:26:657,94.84
954,06:45:26:860,94.84
955,06:45:27:047,94.94
956,06:45:27:234,94.84
957,06:45:27:421,94.94
958,06:45:27:624,94.84
959,06:45:27:811,95.04
960,06:45:27:999,95.04
961,06:45:28:201,94.94
962,06:45:28:389,94.94
963,06:45:28:591,94.94
964,06:45:28:779,94.94
965,06:45:28:935,95.04
966,06:45:29:122,95.04
967,06:45:29:325,95.04
968,06:45:29:512,95.14
969,06:45:29:715,95.14
970,06:45:29:902,95.24
971,06:45:30:089,95.14
972,06:45:30:276,95.04
973,06:45:30:463,95.34
974,06:45:30:666,95.34
975,06:45:30:853,95.34
976,06:45:31:041,95.34
977,06:45:31:243,95.24
978,06:45:31:431,95.24
979,06:45:31:633,95.34
980,06:45:31:821,95.34
981,06:45:32:008,95.34
982,06:45:32:195,95.34
983,06:45:32:398,95.34
984,06:45:32:601,95.34
985,06:45:32:772,95.34
